🎼音樂,#genre#
💃秋月剪水一FHD,http://live.iill.top/douyu.php?id=9588891
💃秋月剪水一FHD,http://home.wwang.pw:35455/douyu/9588891
💃秋月剪水一FHD,https://diyp11111.112114.xyz/douyu/9588891
💃秋月剪水一FHD,https://diyp8.112114.xyz/douyu/9588891
💃秋月剪水一FHD,https://diyp10.112114.xyz/douyu/9588891
💃秋月剪水一FHD,https://epg.aptv.app/douyu/9588891
💃秋月剪水一FHD,http://124.248.69.76:26781/douyu/9588891
💃秋月剪水一FHD,http://itv.91tvb.cc/2024/douyu.php?id=9588891
💃秋月剪水一FHD,http://www.douzhicloud.site:35455/douyu/9588891
💃秋月剪水一FHD,http://lxajh.top/tv/douyu.php?id=9588891
💃秋月剪水一FHD,http://huanqiuzhibo.cn/manifest/douyu.php?id=9588891
💃秋月剪水一FHD,http://zzy789.xyz/douyu1.php?id=9588891
💃秋月剪水一FHD,https://lunbo.freetv.top/douyu/9588891
💃秋月剪水一FHD,http://iptv.com.gerss.cn/douyu/9588891
💃秋月剪水一FHD,http://1.94.31.214:35455/douyu/9588891
💃秋月剪水一FHD,http://rihou.cc:555/dyd.php?id=9588891
💃秋月剪水一FHD,http://b.zgjok.com:35455/douyu/9588891
💃秋月剪水一FHD,http://zpp93.eu.org:35455/douyu/9588891
💃秋月剪水一FHD,http://hulun.top:35455/douyu/9588891

❤️❤️CCTV,#genre#
CCTV13·抖音,http://iptv.com.gerss.cn/douyin/870887192950
CCTV13·抖音,http://iptv.com.gerss.cn/douyin/50828500437
CCTV13·抖音,http://101.200.77.82:35455/douyin/870887192950
CCTV13·抖音,http://101.200.77.82:35455/douyin/50828500437
CCTV13,http://live.nbs.cn/channels/njtv/sbpd/500k.m3u8
CCTV-01,rtsp://180.95.143.19/PLTV/88888910/224/3221225567/10000100000000060000000000107347_0.smil
CCTV-02,rtsp://180.95.143.19/PLTV/88888910/224/3221225568/10000100000000060000000000107348_0.smil
CCTV-03,rtsp://180.95.143.19/PLTV/88888910/224/3221225598/10000100000000060000000000295671_0.smil
CCTV-04,rtsp://180.95.143.19/PLTV/88888910/224/3221225850/376430583.smil
CCTV-05,rtsp://180.95.143.19/PLTV/88888910/224/3221225609/10000100000000060000000000790217_0.smil
CCTV-5+,rtsp://180.95.143.19/PLTV/88888910/224/3221225570/10000100000000060000000000107350_0.smil
CCTV-06,rtsp://180.95.143.19/PLTV/88888910/224/3221225600/10000100000000060000000000295673_0.smil
CCTV-07,rtsp://180.95.143.19/PLTV/88888910/224/3221225572/10000100000000060000000000107352_0.smil
CCTV-08,rtsp://180.95.143.19/PLTV/88888910/224/3221225601/10000100000000060000000000295674_0.smil
CCTV-09,rtsp://180.95.143.19/PLTV/88888910/224/3221225575/10000100000000060000000000107355_0.smil
CCTV-10,rtsp://180.95.143.19/PLTV/88888910/224/3221225577/10000100000000060000000000107357_0.smil
CCTV-11,rtsp://180.95.143.19/PLTV/88888910/224/3221225843/376430589.smil
CCTV-12,rtsp://180.95.143.19/PLTV/88888910/224/3221225578/10000100000000060000000000107358_0.smil
CCTV-13,rtsp://180.95.143.19/PLTV/88888910/224/3221225844/376430600.smil
CCTV-14,rtsp://180.95.143.19/PLTV/88888910/224/3221225579/10000100000000060000000000107359_0.smil
CCTV-15,rtsp://180.95.143.19/PLTV/88888910/224/3221225847/376430588.smil
CCTV-16,rtsp://180.95.143.19/PLTV/88888910/224/3221225605/10000100000000060000000000566169_0.smil
CCTV-17,rtsp://180.95.143.19/PLTV/88888910/224/3221225612/10000100000000060000000000804195_0.smil
北京卫视,rtsp://180.95.143.19/PLTV/88888910/224/3221225576/10000100000000060000000000107356_0.smil
东方卫视,rtsp://180.95.143.19/PLTV/88888910/224/3221225531/10000100000000060000000000107311_0.smil
浙江卫视,rtsp://180.95.143.19/PLTV/88888910/224/3221225530/10000100000000060000000000107310_0.smil
江苏卫视,rtsp://180.95.143.19/PLTV/88888910/224/3221225569/10000100000000060000000000107349_0.smil
湖南卫视,rtsp://180.95.143.19/PLTV/88888910/224/3221225574/10000100000000060000000000107354_0.smil
广东卫视,rtsp://180.95.143.19/PLTV/88888910/224/3221225527/10000100000000060000000000107307_0.smil
深圳卫视,rtsp://180.95.143.19/PLTV/88888910/224/3221225571/10000100000000060000000000107351_0.smil
天津卫视,rtsp://180.95.143.19/PLTV/88888910/224/3221225529/10000100000000060000000000107309_0.smil
安徽卫视,rtsp://180.95.143.19/PLTV/88888910/224/3221225524/10000100000000060000000000107304_0.smil
山东卫视,rtsp://180.95.143.19/PLTV/88888910/224/3221225526/10000100000000060000000000107306_0.smil
辽宁卫视,rtsp://180.95.143.19/PLTV/88888910/224/3221225525/10000100000000060000000000107305_0.smil
河北卫视,rtsp://180.95.143.19/PLTV/88888910/224/3221225846/376430610.smil
湖北卫视,rtsp://180.95.143.19/PLTV/88888910/224/3221225528/10000100000000060000000000107308_0.smil
重庆卫视,rtsp://180.95.143.19/PLTV/88888910/224/3221225856/376468527.smil
贵州卫视,rtsp://180.95.143.19/PLTV/88888910/224/3221225854/376430616.smil
东南卫视,rtsp://180.95.143.19/PLTV/88888910/224/3221225853/376430608.smil
黑龙江卫视,rtsp://180.95.143.19/PLTV/88888910/224/3221225573/10000100000000060000000000107353_0.smil
CCTV1,https://iptv.leosam.top/382079301/bestv/cctv1.m3u8
CCTV2,https://iptv.leosam.top/382079301/bestv/cctv2.m3u8
CCTV3,https://iptv.leosam.top/382079301/bestv/cctv3.m3u8
CCTV4,https://iptv.leosam.top/382079301/bestv/cctv4.m3u8
CCTV5,https://iptv.leosam.top/382079301/bestv/cctv5.m3u8
CCTV6,https://iptv.leosam.top/382079301/bestv/cctv6.m3u8
CCTV7,https://iptv.leosam.top/382079301/bestv/cctv7.m3u8
CCTV8,https://iptv.leosam.top/382079301/bestv/cctv8.m3u8
CCTV9,https://iptv.leosam.top/382079301/bestv/cctv9.m3u8
CCTV10,https://iptv.leosam.top/382079301/bestv/cctv10.m3u8
CCTV11,https://iptv.leosam.top/382079301/bestv/cctv11.m3u8
CCTV12,https://iptv.leosam.top/382079301/bestv/cctv12.m3u8
CCTV13,https://iptv.leosam.top/382079301/bestv/cctv13.m3u8
CCTV14,https://iptv.leosam.top/382079301/bestv/cctv14.m3u8
CCTV15,https://iptv.leosam.top/382079301/bestv/cctv15.m3u8
CCTV16,https://iptv.leosam.top/382079301/bestv/cctv16.m3u8
CCTV16-4K,https://iptv.leosam.top/382079301/bestv/cctv164k.m3u8
CCTV17,https://iptv.leosam.top/382079301/bestv/cctv17.m3u8
CCTV5+,https://iptv.leosam.top/382079301/bestv/cctv5p.m3u8
CCTV5+,https://iptv.leosam.top/382079301/bestv/cctv5p2.m3u8
CCTV4K,https://iptv.leosam.top/382079301/bestv/cctv4k.m3u8

CCTV1,https://iptv.leosam.top/382079301/bestv/cctv1.m3u8?ip=120.233.83.58/xjbuv52-zp.live.bestvcdn.com.cn
CCTV2,https://iptv.leosam.top/382079301/bestv/cctv2.m3u8?ip=120.233.83.58/xjbuv52-zp.live.bestvcdn.com.cn
CCTV3,https://iptv.leosam.top/382079301/bestv/cctv3.m3u8?ip=120.233.83.58/xjbuv52-zp.live.bestvcdn.com.cn
CCTV4,https://iptv.leosam.top/382079301/bestv/cctv4.m3u8?ip=120.233.83.58/xjbuv52-zp.live.bestvcdn.com.cn
CCTV5,https://iptv.leosam.top/382079301/bestv/cctv5.m3u8?ip=120.233.83.58/xjbuv52-zp.live.bestvcdn.com.cn
CCTV6,https://iptv.leosam.top/382079301/bestv/cctv6.m3u8?ip=120.233.83.58/xjbuv52-zp.live.bestvcdn.com.cn
CCTV7,https://iptv.leosam.top/382079301/bestv/cctv7.m3u8?ip=120.233.83.58/xjbuv52-zp.live.bestvcdn.com.cn
CCTV8,https://iptv.leosam.top/382079301/bestv/cctv8.m3u8?ip=120.233.83.58/xjbuv52-zp.live.bestvcdn.com.cn
CCTV9,https://iptv.leosam.top/382079301/bestv/cctv9.m3u8?ip=120.233.83.58/xjbuv52-zp.live.bestvcdn.com.cn
CCTV10,https://iptv.leosam.top/382079301/bestv/cctv10.m3u8?ip=120.233.83.58/xjbuv52-zp.live.bestvcdn.com.cn
CCTV11,https://iptv.leosam.top/382079301/bestv/cctv11.m3u8?ip=120.233.83.58/xjbuv52-zp.live.bestvcdn.com.cn
CCTV12,https://iptv.leosam.top/382079301/bestv/cctv12.m3u8?ip=120.233.83.58/xjbuv52-zp.live.bestvcdn.com.cn
CCTV13,https://iptv.leosam.top/382079301/bestv/cctv13.m3u8?ip=120.233.83.58/xjbuv52-zp.live.bestvcdn.com.cn
CCTV14,https://iptv.leosam.top/382079301/bestv/cctv14.m3u8?ip=120.233.83.58/xjbuv52-zp.live.bestvcdn.com.cn
CCTV15,https://iptv.leosam.top/382079301/bestv/cctv15.m3u8?ip=120.233.83.58/xjbuv52-zp.live.bestvcdn.com.cn
CCTV16,https://iptv.leosam.top/382079301/bestv/cctv16.m3u8?ip=120.233.83.58/xjbuv52-zp.live.bestvcdn.com.cn
CCTV16-4K,https://iptv.leosam.top/382079301/bestv/cctv164k.m3u8?ip=120.233.83.58/xjbuv52-zp.live.bestvcdn.com.cn
CCTV17,https://iptv.leosam.top/382079301/bestv/cctv17.m3u8?ip=120.233.83.58/xjbuv52-zp.live.bestvcdn.com.cn
CCTV5+,https://iptv.leosam.top/382079301/bestv/cctv5p.m3u8?ip=120.233.83.58/xjbuv52-zp.live.bestvcdn.com.cn
CCTV5+,https://iptv.leosam.top/382079301/bestv/cctv5p2.m3u8?ip=120.233.83.58/xjbuv52-zp.live.bestvcdn.com.cn
CCTV4K,https://iptv.leosam.top/382079301/bestv/cctv4k.m3u8?ip=120.233.83.58/xjbuv52-zp.live.bestvcdn.com.cn
CCTV1,rtsp://116.176.26.18/PLTV/88888910/224/3221225567/10000100000000060000000000107347_0.smil
CCTV2,rtsp://116.176.26.18/PLTV/88888910/224/3221225568/10000100000000060000000000107348_0.smil
CCTV3,rtsp://116.176.26.18/PLTV/88888910/224/3221225598/10000100000000060000000000295671_0.smil
CCTV4,rtsp://116.176.26.18/PLTV/88888910/224/3221225850/376430583.smil
CCTV5,rtsp://116.176.26.18/PLTV/88888910/224/3221225609/10000100000000060000000000790217_0.smil
